title,volume,year,floor,row,section,notes
Abhandlungen Der Deutschen Akademie Der Wissenschaften zu Berlin - Klasse fur Med …,?,1953-71,7th Floor,Row Z,,
Abhandlungen der Medizinischen Fakultaet der Sun Yatsen Univers,v1-3,1929-32,4th Floor,Row U,,
Abhandlungen uber Biologische Medizin und Augenheilkunde,band 1,1027,4th Floor,Row U,,
Abhandlungen uber die Cyclogenie der Bakterien,heft 1,1928,4th Floor,Row U,,
Abhandlungen und Monographien aus dem Gerbiete der Biologie und Medizin,v1-3,1920-23,4th Floor,Row U,,
Abhandlungen zur Exakten Biologie,3,1953,7th Floor,Row Z,,
Abhandlungen zur Exakten Biologie,v1-2,1939-41,4th Floor,Row U,,
Abhandlungen zur Physiologie der GesichtsEmpfindungen,v1-5,1897-1925,4th Floor,Row U,,
Abhandlungen zur Theoretischen Biologie,v1-30,1919-31,4th Floor,Row U,,
ABMAC Bulletin,40,1979,7th Floor,Row Z,,
Abrstracts of Hosptal Management,1-14,1965-78,CPR,,,
ABS Guide (American Behavioral Scientist) Supplement,,1972,7th Floor,Row S,,
Abstainer's Journal,"v13-14,17, 20-21,23-24",1854,4th Floor,Row U,,
Abstract and New Book,v1-2,1885-1887,4th Floor,Row U,,
Abstract of Sanitary Reports,v6-10,1891-1895,4th Floor,Row U,,
Abstract of the Proceedings of the Association of Life Insurance Medical Directors,v1-27,1889-1940,4th Floor,Row U,,
Abstract of the Proceedings of the Association of Life Insurance Medical Directors. Minutes,,1889-1895,4th Floor,Row U,,
Abstract of the Proceedings of the Obstetrical Society of Edinburgh,,1846-47,4th Floor,Row U,,
Abstract of the Transactions of the Hunterian Society,,1890-1896,4th Floor,Row U,,
Abstracts and Index,"v3-4,6-8",1887-1893,4th Floor,Row U,,
Abstracts and Proceedings of the Conference on Radiation Cataracts,1-6,1950-55,7th Floor,Row Z,,
Abstracts and Translations from the Science Library: Institute of Living,,1943-49,4th Floor,Row V,,
Abstracts and Translations from the Science Library: NPI ohf HR,,1939-42,4th Floor,Row V,,
Abstracts Biomedical Laser Conference,1,1965,7th Floor,Row Z,,
Abstracts from Cancer Research,v1,1941,4th Floor,Row U,,
Abstracts from Recent Medical and Public Health Papers,v1-2,1920-21,4th Floor,Row U,,
Abstracts from the World Medical Literature,n/a,1957-1962,7th Floor,Row Z,,
Abstracts of Bacteriology,v1-9,1917-25,4th Floor,Row U,,
Abstracts of Bulgarian Scientific Literature Biology and Medicine,1,1958,7th Floor,Row Z,,
Abstracts of Current Literature: Reports of Meetings: Seminars on Classes…,Series8-9,1934-1935,4th Floor,Row U,,
Abstracts of Current Public Health Literature,,1927-32,4th Floor,Row U,,
Abstracts of Current Venereal Disease Literature,v5-19,1922-23,4th Floor,Row U,,
Abstracts of Japanese Medicine,1-2,1960-62,7th Floor,Row Z,,
Abstracts of Orthopedic Surgery,,1949,4th Floor,Row U,,
Abstracts of Orthopedic Surgery,n/a,1950,7th Floor,Row Z,,
Abstracts of Papers of the Japanese Society of Internal Medicine,54-57,1957-60,7th Floor,Row Z,,
Abstracts of Papers of the Journal of Japanese Society of Internal Medicine,48-49,1959-61,7th Floor,Row Z,,
Abstracts of Papers Society of the American Bacteriologists,47th-49th meeting,1947-49,4th Floor,Row U,,
Abstracts of Psychiatry for the General Practitioner,1-6,1958-63,7th Floor,Row Z,,
Abstracts of some of the Medical and Surgical cases,v2-6,1882-1886,4th Floor,Row U,,
Abstracts of the American Academy of General Practice,8-13,1956-1961,7th Floor,Row Z,,
Abstracts of the American Society for Microbiology,n/a,1972-1998,7th Floor,Row Z,,
Abstracts of the American Society of Nephrology,"1,3-6","1967, 1969-73",7th Floor,Row Z,,
Abstracts of the Annual Scientific Assembly,6-7,1954-55,7th Floor,Row Z,,
Abstracts of the Biophysical Society,1-11,1958-67,7th Floor,Row Z,,
Abstracts of the Proceedings of … Career Scientists… Health Research Council,2-5,1963-66,7th Floor,Row Z,,
Abstracts of the Work Done in the Laboratory of Veterinary Physiology and Pharmacology,no.1-5,8/1/1904,4th Floor,Row V,,
Abstracts of the World Surgery: Obstetrics and Gynecology,v1-6,1947-49,4th Floor,Row V,,
Abstracts of World Surgery Obstetrics and Gynaecology,7-11,1950-52,7th Floor,Row Z,,
Abstracts on Tuberculosis and  other Respiratory Diseases,41-44,1968-71,7th Floor,Row Z,,
Abstracts Renal Insufficiency,1-4,1971-74,7th Floor,Row Z,,
ABT,1-13,1953-65,7th Floor,Row Z,,
Academia Medica. Genova,v45-62,1931-47,4th Floor,Row V,,
Academia Medica. Lisboa,v8-11,1943-47,4th Floor,Row V,,
Academic Emergency Medicine,11-15,8/1/2004,7th Floor,Row Z,,
Academic Medicine,64-83,1989-2008,7th Floor,Row Z,,
Academician,47-55,1959-67,7th Floor,Row Z,,
Academie Royale de Medecine de Belgique,,1896-1920,4th Floor,Row V,,
Academy Bookman,11-20,1958-67,7th Floor,Row Z,,
Accademia Medica,73-89,1958-74,7th Floor,Row Z,,
Accao Medica,13-29,1948-65,7th Floor,Row Z,,
Accident Facts,,1940-48,4th Floor,Row V,,
Accident Facts,n/a,1950-86,7th Floor,Row Z,,
Accident Facts,n/a,1993-98,7th Floor,Row Z,,
Accident Surgery,1-3,1961-65,7th Floor,Row Z,,
Accoustical Holography,1-7,1967-76,7th Floor,Row Z,,
Accoustical Imaging,9-16,1979-87,7th Floor,Row Z,,
Accreditation Guide. Canadian Council on Hospital Accreditation,1-3,1960-63,7th Floor,Row Z,,
ACGIH Transactions,4-13,1982-85,7th Floor,Row Z,,
ACHA News,36,1972,7th Floor,Row Z,,
Achema-Jahrbuch,,1927,4th Floor,Row V,,
ACIR Bulletin,n/a,1962/64,7th Floor,Row Z,,
ACP Journal Club,114-148,1991-2008,7th Floor,Row Z,,
Acquisitions Medicales Recentes,,1946-48,4th Floor,Row V,,
Acquisitions Mondiales de la Chirurgie,n/a,1952-53,7th Floor,Row Z,,
ACR Bulletin,25-47,1969-91,7th Floor,Row Z,,
ACSH News and Views,3-9,1982-88,7th Floor,Row Z,,
Acta Aerophysiologica,v1,1933-34,4th Floor,Row V,,
Acta Allergologica,1-32,1948-77,Woerishoffer Hall,,,
Acta Americana,v1-4,1943-46,4th Floor,Row V,,
Acta Anaesthesiologica,1-22,1950-71,Woerishoffer Hall,,,
Acta Anaesthesiologica Belgica,3-51,1952-2000,Woerishoffer Hall,,,
Acta Anaesthesiologica Italica,23-41,1952-1990,Woerishoffer Hall,,,
Acta Anaesthesiologica Scandinavica,1-44,1957-2000,Woerishoffer Hall,,,
Acta Anaesthesiologica Scandinavica. Supplementum.,1-114,1959-1999,Woerishoffer Hall,,,
Acta Anatomica,1-142,1945-91,Woerishoffer Hall,,,
Acta Anatomica. Supplement. (bound with Journal),1-63,1945-76,Woerishoffer Hall,,,
Acta Argentina de Fisiologia y Fisiopatologia,1-5,1950-55,Woerishoffer Hall,,,
Acta Belgica Medica Physica,6-13,1983-1990,Woerishoffer Hall,,,
Acta Biochimica Iranica,1-9,1962-72,Woerishoffer Hall,,,
Acta Biologiae Experimentalis,v1-15,1928-49,4th Floor,Row V,,
Acta Biologiae Experimentalis,15-29,1950-1969,Woerishoffer Hall,,,
Acta Biologiae Experimentalis Sinica,7-10,1962-65,Woerishoffer Hall,,,
Acta Biologica Academiae Scientiarum Hungaricae,1/7n4/14-33,1950-82,Woerishoffer Hall,,,gaps
Acta Biologica Belgica,v1-3,1941-43,4th Floor,Row V,,
Acta Biologica et Medica (Gdansk),1-9/10n1/11-17,,Woerishoffer Hall,,,gaps
Acta Biologica et Medica. Germanica.,1-41,1958-82,Woerishoffer Hall,,,
Acta Biologica Venezuelica,1,1952,Woerishoffer Hall,,,
"Acta Bio-Medica de ""L'Ateneo Parmense""",52-58,1981-87,Woerishoffer Hall,,,
Acta Biotheoretica,v1-7,1935-43,4th Floor,Row V,,
Acta Biotheoretica,8-27,1946-78,Woerishoffer Hall,,,
"Acta Brevia Neerlandica de Physiologia, Pharmacologia, Microbiologia E.A.",v1-17,1931-50,4th Floor,Row V,,
Acta Cancerologica (Lima),1-8/10,1960-71,Woerishoffer Hall,,,gaps
Acta Cancrologica,v1-3,1934-37,4th Floor,Row V,,
Acta Cancrologica Jugoslavica,v1-2,1939-40,4th Floor,Row V,,
Acta Cardiologica (and supplements),1-54,1946-99,Woerishoffer Hall,,,
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,17-57,1950-90,Woerishoffer Hall,,,
Acta Chirurgiae Plasticae,1-32,1959-1990,Woerishoffer Hall,,,
Acta Chirurgica Belgica,45-100,1946-2000,Woerishoffer Hall,,,
Acta Chirurgica Belgica et Acta Gastro-Enterologica Belgica,Suppl.1-2,1948,4th Floor,Row V,,
Acta Chirurgica Hungarica,24-30,1983-89,Woerishoffer Hall,,,
Acta Chirurgica Italica,10-37,1954-81,Woerishoffer Hall,,,
Acta Chirurgica Patavina,6-9,1950-53,Woerishoffer Hall,,,
Acta Chirurgica Scandinavica,v52-148,1919-49,4th Floor,Row V,,
Acta Chirurgica Scandinavica (and supplements),99-156,1949-1990,Woerishoffer Hall,,,
Acta Chirurgica Zagreb,n/a,1951,Woerishoffer Hall,,,
Acta Chirurgica. Budapest.,1-23,1960-82,Woerishoffer Hall,,,
Acta Cientifica Venezolana (and supplements),1-24,1950-73,Woerishoffer Hall,,,
Acta Clinica Belgica,1-54,1946-99,Woerishoffer Hall,,,
Acta Cytologica,1-36,1957-92,Woerishoffer Hall,,,gaps
Acta Davosiana,1-17,1933-49,Woerishoffer Hall,,,
Acta de la Sociedad De Cirugia de Madrid,v1-4,1931-35,4th Floor,Row V,,
Acta Dermatolgica. Kyoto,"54,63,67",1960-1972,Woerishoffer Hall,,,
Acta Dermatologica,v1-44,1923-48,4th Floor,Row V,,
Acta Dermato-Venereologica,v1-29,1920-49,4th Floor,Row V,,
Acta Dermato-Venereologica. Supplement,Suppl.1-23,1929-1949,4th Floor,Row V,,
Acta Dermato-Venerologica (and supplements),30-80,1950-2000,Woerishoffer Hall,,,
Acta Dermosifiliograficas,v1-40,1913-40,4th Floor,Row V,,
Acta Diabetologica,28-37,1991-2000,Woerishoffer Hall,,,
Acta Diabetologica Latina,4-27,1967-1990? Supps 1968-1972,Woerishoffer Hall,,,
Acta Diabetologica Supplement,6 suppl 1-9 suppl 2,1969-1972,Woerishoffer Hall,,,
Acta Embryologiae et Morphologiae Experimentalis,1-10,1957-1968,Woerishoffer Hall,,,
Acta Embryologiae et Morphologiae Experimentalis NS,1-9,1980-1988,Woerishoffer Hall,,,
Acta Embryologiae Experimentalis,n/a,1969-1979,Woerishoffer Hall,,,
Acta Endocrinologica,v5-14,1935-47,4th Floor,Row V,,
Acta Endocrinologica (Copenhagen),1-129,1948-1993,Woerishoffer Hall,,,
Acta Endocrinologica Cubana,"1-3,7",1953-59,Woerishoffer Hall,,,
Acta Endocrinologica et Gynaecologica Hispano-Lusitana,3,1950,Woerishoffer Hall,,,gaps
Acta Endocrinologica et Gynaecologica Hispano-Lusitana.,v1-2,1948-49,4th Floor,Row V,,
Acta Endocrinologica Iberica,1-2,1951-52,Woerishoffer Hall,,,gaps
"Acta et Commentationes Universitatis Dorpatensis A Mathematica, Physica, Medica",v2-35,1921-40,4th Floor,Row V,,
Acta et Commentationes Universitatis Tartuensis (Dorpatensis) C Annales,v1-23,1929-40,4th Floor,Row V,,
Acta Facultates Medicae Universitatis Vindobonensis,v1-6,1399-1724,4th Floor,Row V,,
Acta Facultatis Medicae Fluminensis,"1-5, 18",1966-1970,Woerishoffer Hall,,,gaps
Acta Facultatis Medicae Universitatis Brunesis,2-106,1959-1990,Woerishoffer Hall,,,gaps
Acta Fisioterapica Iberica,"2 suppl,3,4",1957-60,Woerishoffer Hall,,,gaps
Acta Gastro-enterolgica Belgica,13-68 (unbd:70-72),"1950-2005, 2007-09",Woerishoffer Hall,,,
Acta Gastro-Enterologica Belgica,v9-12,1946-49,4th Floor,Row V,,
Acta Genetica et Statistica Medica, 1-18,1948-1968,Woerishoffer Hall,,,
Acta Geneticae Medicae et Gemellologiae,"1, 6-40",1952-1991,Woerishoffer Hall,,,
Acta Gerontologica et Geriatrica Belgica,2-5,1964-67,Woerishoffer Hall,,,
Acta Gnathologica…,"v2, no.1",1937,4th Floor,Row V,,
Acta Gynaecologica Brunensis Clinicae II,2,1956,Woerishoffer Hall,,,
Acta Gynaecologica et Obstetrica Hispano-Lusitana,1-15,1951-1966,Woerishoffer Hall,,,
Acta Gynecologica Scandinavica,v1-3,1921-25,4th Floor,Row V,,
Acta Haematologica,1-104,1948-2000,Woerishoffer Hall,,,
Acta Haematologica Polonica,1-12,1970-1981,Woerishoffer Hall,,,
Acta Hepatologica,1-4,1953-56,Woerishoffer Hall,,,
Acta Hepato-Splendologica,6-18,1959-71,Woerishoffer Hall,,,
Acta Hepato-Splendologica. Supplement.,1-2,1962-66,Woerishoffer Hall,,,
Acta Heptao-Gastroenterologica,19-26,1972-79,Woerishoffer Hall,,,
Acta Histochemica,11-84,1961-88,Woerishoffer Hall,,,
Acta Histochemica et Cytochemica,1-11,1968-78,Woerishoffer Hall,,,
Acta Histochemica. Supplement.,1-35,1958-88,Woerishoffer Hall,,,
Acta Iberica Radiologica-Cancerologica,1-23,1952-67,Woerishoffer Hall,,,
Acta Instituti Anatomici Universitatis,v8-14,1937-46,4th Floor,Row V,,
Acta Instituti Anatomici Universitatis,15-20,1947-57,Woerishoffer Hall,,,
Acta Isotopica,1-11,1961-71,Woerishoffer Hall,,,
Acta Japonica Medicinae Tropicales,"v1, no.1-2p-v2, no.1",1939-40,4th Floor,Row V,,
Acta Jutlandica Medicinsk,series 7,1946,4th Floor,Row V,,
Acta Jutlandica. Medicinsk Serie B. Supplement A.,24,1952,Woerishoffer Hall,,,
Acta Jutlandica. Medicinsk Serie.,9-16,1959-68,Woerishoffer Hall,,,
Acta Leidensia,v1-20,1926-49,4th Floor,Row V,,
Acta Leidensia,21-60,1950-92,Woerishoffer Hall,,,
Acta Litterarum AC Scientiarum Reg. Universitatis Hung Francisco Iosephinae,v1-11,1927-42,4th Floor,Row V,,
Acta Media del Hospital Cordoba,1-2,1956-67,Woerishoffer Hall,,,
Acta Medica ( In Rusian) Kharkov,,"1928, 1945",4th Floor,Row V,,
Acta Medica Academiae Scientiarum Hungaricae,1-39,1950-82,Woerishoffer Hall,,,
Acta Medica Austriaca,1-18,1974-91,Woerishoffer Hall,,,
Acta Medica Costaricense,1-20,1957-77,Woerishoffer Hall,,,
Acta Medica de Cordoba,3-9,1958-64,Woerishoffer Hall,,,
Acta Medica de Tenerife,"1, 8-9",1952-1957,Woerishoffer Hall,,,gaps
Acta Medica et Biologica,1-55,1953-2008,Woerishoffer Hall,,,
Acta Medica Hidalguense,5-16,1950-61,Woerishoffer Hall,,,gaps
Acta Medica Hungarica,40-47,1983-90,Woerishoffer Hall,,,
Acta Medica Italica. Milan,,1935-36,4th Floor,Row V,,
Acta Medica Iugoslavica,3-6,1949-52,Woerishoffer Hall,,,
Acta Medica Iugoslavica,7-54,1953-91,Woerishoffer Hall,,,
Acta Medica Iugoslavica. English Edition,16-26,1962-72,Woerishoffer Hall,,,
"Acta Medica Izmir, Turkey",v1,1948,4th Floor,Row V,,
Acta Medica Okayama,27-52,1973-1998,7th Floor,Row Z,,
Acta Medica Orientalia,9-16,1950-57,Woerishoffer Hall,,,
Acta Medica Philippina,1-19,1939-63,Woerishoffer Hall,,,
Acta Medica Philippina. Series 2.,1-13,1964-77,Woerishoffer Hall,,,
Acta Medica Polona,1-30,1960-89,Woerishoffer Hall,,,
Acta Medica Scandinavica,136-224,1994-1988,7th Floor,Row Z,,
Acta Medica Scandinavica Supplementum,236-730,1950-1988,7th Floor,Row Z,,
Acta Medica Turcica,"1, 3, 5-11",1949-59,Woerishoffer Hall,,,gaps
Acta Medica Turcica. New Series,1-8,1964-71,Woerishoffer Hall,,,
Acta Medica Venezolana,2-18,1954-1971,Woerishoffer Hall,,,gaps
Acta Medica.  Hispanica. Barcelona,v5-7,1947-49,4th Floor,Row V,,
Acta Medica. (Rio De Janerio),v1-11,1938-43,4th Floor,Row V,,
Acta Medica. Scandinavica,v52-135,1919-49,4th Floor,Row V,,
Acta Medica. Szeged,v12 ,1944,4th Floor,Row V,,
Acta Medica. Urss,v1-3,1938-40,4th Floor,Row V,,
Acta Medicinae Facultates Vytsuti Msgni Universitatis Caunae (In Lithuania),v1-5,1933-38,4th Floor,Row V,,
Acta Medicinae Legalis et Socialis,1-20,1943-1967,Woerishoffer Hall,,,
Acta Medicinae Okayama,8-26,1952-1972,Woerishoffer Hall,,,
Acta Medicinalia in Keijo,v11-12,1928-29,4th Floor,Row V,,
Acta Microbiologica Academiae Scientiarum Hungaricae,10-29,1963-1982,Woerishoffer Hall,,,
Acta Microbiologica Hungarica,30-36,1983-1989,Woerishoffer Hall,,,
Acta Microbiologica Polonica,v6,1952-1959,Woerishoffer Hall,,,gaps
Acta Microbiologica Polonica,1-8 ,1958+63,4th Floor,Row V,,
Acta Morphologica,heft 1,1935,4th Floor,Row V,,
Acta Morphologica Academiae Scientiarum Hungaricae,6-26,1955-1978,Woerishoffer Hall,,,gaps
Acta Morphologica Neerlando-Scandinavica,1-27,1956-1989,Woerishoffer Hall,,,
Acta Neerlandica Morphologiae Normalis et Pathologicae,v1-6,1937-49,4th Floor,Row V,,
Acta Neurochirurgica,1-113,1950-1991,Woerishoffer Hall,,,
Acta Neurochirurgica. Supplementum.,1-51,1950-1990,Woerishoffer Hall,,,gaps
Acta Neurologica,4-36,1949-81,Woerishoffer Hall,,,
Acta Neurologica Belgica,70-100,1970-2000,Woerishoffer Hall,,,
Acta Neurologica et Psychiatrica Belgica,v48-49,1948-49,4th Floor,Row V,,
Acta Neurologica et Psychiatrica Belgica,50-69,1950-1969,Woerishoffer Hall,,,
Acta Neurologica Latinoamericana (Supplements within run),1-27,1955-1981,Woerishoffer Hall,,,gaps
Acta Neurologica Scandinavica,37-102,1961-2000,Woerishoffer Hall,,,
Acta Neurologica Scandinavica. Supplementum.,1-176,1962-2001,Woerishoffer Hall,,,
Acta Neuropathologica (supplements within run),1-82,1961-1991,Woerishoffer Hall,,,
Acta Neuropsiquiatrica Argentina,1-7,1954-1961,Woerishoffer Hall,,,
Acta Neurovegetativa,1-30,1950-1967,Woerishoffer Hall,,,
Acta Nova Regiae Societatis Medicae Havniensis,v1-3,1818-29,4th Floor,Row V,,
Acta Obstetrica et Gynaecologica Japonica,16-23,1969-1976,Woerishoffer Hall,,,
Acta Obstetrica et Gynaecologica Scandinavica,29-82,1949-2003,Woerishoffer Hall,,,
Acta Obstetrica et Gynaecologica Scandinavica. Supplementum.,1-168,1949-1998,Woerishoffer Hall,,,
Acta Obstetrica et Gynecologica Scandinavica,v4-28,1925-49,4th Floor,Row V,,
Acta Obstetrica y Ginecologica Hispano-Lusitana,20-30,1972-1982,Woerishoffer Hall,,,
Acta Odontologica Venezolana,1-18,1963-1980,Woerishoffer Hall,,,
Acta Oncologica,,1935-,4th Floor,Row V,,
Acta Oncologica. Madrid,1-10,1962-1975,Woerishoffer Hall,,,
Acta Oncologica. Stockholm,26-39,1987-2000,Woerishoffer Hall,,,
Acta Ophthalmologica,v1-27,1923-1949,4th Floor,Row V,,
Acta Ophthalmologica (some supplements included with volumes),28-54,1950-76,Woerishoffer Hall,,,
Acta Ophthalmologica Orientalia,v1,1938-39,4th Floor,Row V,,
Acta Ophthalmologica. Supplementum,47-128,1958-76,Woerishoffer Hall,,,
Acta Orthopaedica Belgica,16-49,1950-1983,Woerishoffer Hall,,,
Acta Orthopaedica Italica,1-6,1955-1960,Woerishoffer Hall,,,
Acta Orthopaedica Scandinavica,v1-18,1930-49,4th Floor,Row V,,
Acta Orthopaedica Scandinavica,19-78,1949-2007,7th Floor,Row Z,,
Acta Orthopaedica Scandinavica Supplementum,5-78,1950-2007,7th Floor,Row Z,,
Acta Oto-laryngologica,v1-37,1918-49,4th Floor,Row V,,
Acta Oto-Laryngologica,38-123,1950-2003,Woerishoffer Hall,,,
Acta Oto-laryngologica Orientalia,v1-3,1945-48,4th Floor,Row V,,
Acta Oto-Laryngologica. Supplement.,88-550,1950-2003,Woerishoffer Hall,,,
Acta Oto-Rhino-Laryngologica Belgica,1-54,1947-2000,Woerishoffer Hall,,,
Acta Oto-Rino Laringologica Ibero-Americana,1-32,1950-81,Woerishoffer Hall,,,gaps
Acta Otorrino-Laringologica de Colombia,1-8,1962-1970,Woerishoffer Hall,,,
Acta Paediatrica,v1-38,1921-49,4th Floor,Row V,,
Acta Paediatrica (some supplements are bound with reg vols.),39-53,1951-64,Woerishoffer Hall,,,
Acta Paediatrica Academiae Scientiarum Hungaricae,1-23,1960-1982,Woerishoffer Hall,,,
Acta Paediatrica Belgica,1-34,1946-1981,Woerishoffer Hall,,,
Acta Paediatrica Belgica. Supplement,1-20,1977-1981,Woerishoffer Hall,,,
Acta Paediatrica Hungarica,24-30,1983-1990,Woerishoffer Hall,,,
Acta Paediatrica Japonica,v43-45,1937-39,4th Floor,Row V,,
Acta Paediatrica Japonica,5-40,1963-1998,Woerishoffer Hall,,,
Acta Paediatrica Latina,2-12,1949-1959,Woerishoffer Hall,,,
Acta Paediatrica Scandinavica,54-65,1965-1976,Woerishoffer Hall,,,
Acta Paediatrica Scandinavica. Supplementum,158-258,1965-76,Woerishoffer Hall,,,
Acta Paediatrica. Supplementum.,84-157,1952-64,Woerishoffer Hall,,,
Acta Paedopsychiatrica,26-47,1959-82,Woerishoffer Hall,,,
Acta Parasitologica Polonica,3-7,1955-59,Woerishoffer Hall,,,
Acta Pathologica,v1-4,1937-40,4th Floor,Row V,,
Acta Pathologica et Microbiologica Scandinavica,v1-26,1924-49,4th Floor,Row V,,
Acta Pathologica et Microbiologica Scandinavica,27-77,1950-1969,Woerishoffer Hall,,,
Acta Pathologica et Microbiologica Scandinavica. Section A. Pathology,78-89,1970-1981,Woerishoffer Hall,,,
Acta Pathologica et Microbiologica Scandinavica. Section B. Microbiology,83-89,1975-1981,Woerishoffer Hall,,,
Acta Pathologica et Microbiologica Scandinavica. Section B. Microbiology and Immunology,78-83,1970-1975,Woerishoffer Hall,,,
Acta Pathologica et Microbiologica Scandinavica. Section C. Immunology,83-89,1975-1981,Woerishoffer Hall,,,
"Acta Pathologica et Microbiologica Scandinavica. Supplementum. (Sections A, B, C included)",85-274,1951-1981,Woerishoffer Hall,,,
Acta Pathologica Japonica,1-17,1951-1967,Woerishoffer Hall,,,
Acta Pediatrica Espanola,6-456,1948-81,Woerishoffer Hall,,,gaps
Acta Pharmaceutica Internationalia,1-2,1950-1951,Woerishoffer Hall,,,
Acta Pharmaceutica Sinica,10-13,1963-1966,Woerishoffer Hall,,,
Acta Pharmacologica et Toxicologica (supplements bound w/title),1-59,1945-1986,Woerishoffer Hall,,,
Acta Phtisiologica,1-8,1950-55,Woerishoffer Hall,,,
Acta Phtisiologica,9-60,1956-82,Woerishoffer Hall,,,
Acta Physicochimica. Urss,"v2, v22","1935, 1947",4th Floor,Row V,,
Acta Physiologica et Pharmacologica Bulgarica,1-16,1974-1990,Woerishoffer Hall,,,
Acta Physiologica et Pharmacologica Neerlandica,1-15,1950-1970,Woerishoffer Hall,,,
Acta Physiologica Hungarica,61-74,1983-1989,Woerishoffer Hall,,,
Acta Physiologica Latinoamericana,1-11,1950-1961,Woerishoffer Hall,,,
Acta Physiologica Polonica,1-40,1950-1989,Woerishoffer Hall,,,
Acta Physiologica Polonica (english translation),13-23,1962-1972,Woerishoffer Hall,,,
Acta Physiologica Scandinavica,v1-18,1940-49,4th Floor,Row V,,
Acta Physiologica Scandinavica,71-170,1967-2000,Woerishoffer Hall,,,
Acta Physiologica Scandinavica (supplements included),19-74,1949-68,Woerishoffer Hall,,,
Acta Physiologica Scandinavica. Supplementum,319-647,1968-2000,Woerishoffer Hall,,,
Acta Physiotherapica et Rheumatologica Belgica,v2-3,1947-48,4th Floor,Row V,,
Acta Physiotherapica et Rheumatologica Belgica,4-10,1949-1955,Woerishoffer Hall,,,
Acta Phytochimica,v1-11,1922-40,4th Floor,Row V,,
Acta Phytotherapeutica,"Jan 1954, June 1955 v.2(6)","19,541,955",Woerishoffer Hall,,,
Acta Poloniae Pharmaceutica,8-38,1951-1981,Woerishoffer Hall,,,
Acta Poloniae Pharmaceutica. English Edition,20-29,1963-1872,Woerishoffer Hall,,,
Acta Psiquiatrica y Psicologica Argentina,8-9,1962-1963,Woerishoffer Hall,,,
Acta Psiquiatrica y Psicologica de America Latina,16-17,1970-1971,Woerishoffer Hall,,,
Acta Psychiatrica Belgica,70-89,1970-1989,Woerishoffer Hall,,,
Acta Psychiatrica et Neurologica,v1-24,1926-49,4th Floor,Row V,,
Acta Psychiatrica et Neurologica (includes supplements),25-159,1950-1961,Woerishoffer Hall,,,
Acta Psychiatrica Scandinavica,37-103,1961-2001,Woerishoffer Hall,,,
Acta Psychiatrica Scandinavica. Supllementum.,160-407,1961-2000,Woerishoffer Hall,,,
